1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,SECTOR BARACOA,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,8,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,SECTOR DOS DE NOVIEMBRE,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,-,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,0:00,-,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,10:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,5,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,ANALFABETA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,17:30,-,URBANA,"HOTELES, RESIDENCIAS, Y SIMILARES.",ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SEPARADO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,21:20,-,RURAL,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,23:00,-,RURAL,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,13,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13430000,1
1/1/2012,BOLÍVAR,MAGANGUÉ,Domingo,23:30,BARRIO SANTA RITA,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,13430000,1
1/1/2012,BOLÍVAR,MONTECRISTO,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,13458000,1
1/1/2012,BOLÍVAR,MONTECRISTO,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,13458000,1
1/1/2012,BOLÍVAR,SAN FERNANDO,Domingo,0:00,-,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ESCOPOLAMINA,A PIE,A PIE,23,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,13650000,1
1/1/2012,BOLÍVAR,SAN MARTÍN DE LOBA,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,13667000,1
1/1/2012,BOLÍVAR,SAN PABLO,Domingo,0:00,-,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,33,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,TECNICO,13670000,1
1/1/2012,BOYACÁ,AQUITANIA,Domingo,14:30,PARQUE PRINCIPAL,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,60,FEMENINO,VIUDO,COLOMBIA,AMA DE CASA,NO REPORTADO,PRIMARIA,15047000,1
1/1/2012,BOYACÁ,DUITAMA,Domingo,6:30,VDA. TRINIDAD,RURAL,CASAS DE HABITACION,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),NO REPORTADO,A PIE,A PIE,28,FEMENINO,CASADO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,15238000,1
1/1/2012,BOYACÁ,DUITAMA,Domingo,8:00,SOLANO,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,15238000,1
1/1/2012,BOYACÁ,FIRAVITOBA,Domingo,0:00,CAYETANO AVELLA,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,15272000,1
1/1/2012,BOYACÁ,GACHANTIVÁ,Domingo,1:00,VDA.SAAVEDRA DE RONCANCIO,RURAL,VIAS PUBLICAS,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,15293000,1
1/1/2012,BOYACÁ,PACHAVITA,Domingo,12:00,VDA.SOACA,RURAL,CASAS DE HABITACION,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,NO REPORTADO,NO REPORTADO,20,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,15511000,1
1/1/2012,BOYACÁ,PACHAVITA,Domingo,12:00,VDA.SOACA,RURAL,CASAS DE HABITACION,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,NO REPORTADO,NO REPORTADO,22,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,15511000,1
1/1/2012,BOYACÁ,TENZA,Domingo,9:00,PARQUE PRINCIPAL,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,15798000,1
1/1/2012,BOYACÁ,TUNJA (CT),Domingo,8:00,LAS NIEVES,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,5,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,15001000,1
1/1/2012,CALDAS,LA DORADA,Domingo,15:00,SANTA LUCIA,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,17380000,1
1/1/2012,CALDAS,MANIZALES (CT),Domingo,0:20,BARRIO SAN CAYETANO,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CONTUNDENTES,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,17001000,1
1/1/2012,CALDAS,MANIZALES (CT),Domingo,14:00,CAMILO TORRES,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,NO REPORTA,NO REPORTADA,ANALFABETA,17001000,1
1/1/2012,CALDAS,MANIZALES (CT),Domingo,14:00,SAMARIA,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADA,ANALFABETA,17001000,1
