1/1/2013,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,20:00:00,LAS MALVINAS,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,25,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,8001000,1
1/1/2013,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,3:00:00,LAS ESMERALDA,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,8001000,1
1/1/2013,ATLÁNTICO,SOLEDAD,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,0:00:00,COSTA HERMOSA,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,7,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,8758000,1
1/1/2013,ATLÁNTICO,SOLEDAD,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,0:00:00,COSTA HERMOSA,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,10,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,8758000,1
1/1/2013,ATLÁNTICO,SOLEDAD,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,0:00:00,COSTA HERMOSA,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,32,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,8758000,1
1/1/2013,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,11:20:00,OLAYA HERRERA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13001000,1
1/1/2013,BOLÍVAR,EL CARMEN DE BOLÍVAR,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,20:59:00,SECTOR 12 DE NOVIEMBRE,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13244000,1
1/1/2013,BOLÍVAR,MAGANGUÉ,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,0:00:00,SECTOR NUEVA COLOMBIA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13430000,1
1/1/2013,BOLÍVAR,MAGANGUÉ,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,21:00:00,BARRIO CAMILO TORRES,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,13430000,1
1/1/2013,BOLÍVAR,MAGANGUÉ,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,21:00:00,BARRIO CAMILO TORRES,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13430000,2
1/1/2013,BOLÍVAR,MAGANGUÉ,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,1:00:00,SECTOR DOS DE NOVIEMBRE,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13430000,1
1/1/2013,BOLÍVAR,MARÍA LA BAJA,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,0:00:00,-,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,13442000,1
1/1/2013,BOLÍVAR,SANTA ROSA DEL SUR,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,16:30:00,-,URBANA,NO DEFINIDO,SIN EMPLEO DE ARMAS,-,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13688000,1
1/1/2013,BOLÍVAR,SIMITÍ,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,15:00:00,-,URBANA,NO DEFINIDO,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,13744000,1
1/1/2013,BOLÍVAR,TIQUISIO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,0:00:00,-,URBANA,"COLEGIOS, ESCUELAS",NO REPORTADO,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13810000,1
1/1/2013,BOLÍVAR,VILLANUEVA,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,Martes,2:30:00,-,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,29,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,13873000,1
1/1/2013,BOLÍVAR,ZAMBRANO,ARTÍCULO 210 A. ACOSO SEXUAL,Martes,8:00:00,SECTOR CENTRO,URBANA,VIAS PUBLICAS,NO REPORTADO,-,-,18,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13894000,1
1/1/2013,BOYACÁ,CHÍQUIZA,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,10:00:00,VDA. CERRO,RURAL,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,15232000,1
1/1/2013,BOYACÁ,GUATEQUE,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,15:00:00,EL DORADO,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,15322000,1
1/1/2013,BOYACÁ,MONIQUIRÁ,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,Martes,0:00:00,VDA.TIERRA DE GONZALEZ,RURAL,FINCAS Y SIMILARES,CONTUNDENTES,A PIE,A PIE,7,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,15469000,1
1/1/2013,BOYACÁ,MONIQUIRÁ,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,Martes,0:00:00,VDA.TIERRA DE GONZALEZ,RURAL,FINCAS Y SIMILARES,CONTUNDENTES,A PIE,A PIE,9,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,15469000,1
1/1/2013,BOYACÁ,MOTAVITA,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,0:00:00,VDA. QUEBRADA HONDA,RURAL,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,15476000,1
1/1/2013,BOYACÁ,PUERTO BOYACÁ,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,0:00:00,BRISAS DEL MAGDALENA,URBANA,"BARES, CANTINAS Y SIMILARES",ESCOPOLAMINA,A PIE,A PIE,29,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,15572000,1
1/1/2013,BOYACÁ,SOATÁ,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,0:00:00,EL CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,15753000,1
1/1/2013,BOYACÁ,TUNJA (CT),ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,10:30:00,BARRIO BOLIVAR,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,15001000,1
1/1/2013,BOYACÁ,TUNJA (CT),ARTÍCULO 219 A. UTILIZACIÓN O FACILITACIÓN DE MEDIOS DE COMUNICACIÓN PARA OFRECER SERVICIOS SEXUALES DE MENORES,Martes,0:00:00,BARRIO FUENTE HIGUERAS,URBANA,VIAS PUBLICAS,-,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,15001000,1
1/1/2013,CALDAS,MANIZALES (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,3:00:00,SAN SEBASTIAN,URBANA,APARTAMENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,17001000,1
1/1/2013,CALDAS,MANIZALES (CT),ARTÍCULO 210 A. ACOSO SEXUAL,Martes,0:00:00,FATIMA,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,17001000,1
1/1/2013,CALDAS,MANIZALES (CT),ARTÍCULO 210 A. ACOSO SEXUAL,Martes,0:00:00,FATIMA,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,24,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,17001000,1
1/1/2013,CALDAS,RIOSUCIO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,15:00:00,GUACAS,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,-,17614000,1
