2/1/2011,ANTIOQUIA,MEDELLÍN (CT),Domingo,22:15:00,SAN JAVIER 1 C-13,URBANA,CASAS DE HABITACION,-,A PIE,A PIE,28,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,,1
3/1/2011,ANTIOQUIA,MEDELLÍN (CT),Lunes,0:00:00,PARQUE NORTE C-4,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,,1
4/1/2011,ANTIOQUIA,MEDELLÍN (CT),Martes,0:00:00,PARQUE NORTE C-4,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,,1
29/01/2011,ANTIOQUIA,MEDELLÍN (CT),Sábado,17:35:00,LA COLINA C-15,URBANA,VIAS PUBLICAS,-,A PIE,A PIE,5,FEMENINO,SOLTERO,COLOMBIA,NO REPORTA,-,PRIMARIA,5001000,,1
17/02/2011,ANTIOQUIA,MEDELLÍN (CT),Jueves,11:00:00,LA ESPERANZA 2 C-1,URBANA,CASAS DE HABITACION,-,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5001000,,1
19/02/2011,ANTIOQUIA,MEDELLÍN (CT),Sábado,0:01:00,SANTA CRUZ  C-2,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,23,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,5001000,,1
22/02/2011,ANTIOQUIA,MEDELLÍN (CT),Martes,4:15:00,MANRIQUE CENTRAL No. 2  C-3,URBANA,VIAS PUBLICAS,-,A PIE,A PIE,5,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,NO REPORTADO,5001000,,1
25/02/2011,ANTIOQUIA,MEDELLÍN (CT),Viernes,17:40:00,CORDOBA C-7,URBANA,CASAS DE HABITACION,-,A PIE,A PIE,49,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,-,PRIMARIA,5001000,,1
26/02/2011,ANTIOQUIA,MEDELLÍN (CT),Sábado,16:10:00,LA MOTA C-16,URBANA,VIAS PUBLICAS,-,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,26,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,5001000,,1
1/3/2011,ANTIOQUIA,MEDELLÍN (CT),Martes,0:00:00,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,NO REPORTA,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,,1
4/3/2011,ANTIOQUIA,MEDELLÍN (CT),Viernes,23:40:00,LLANADITAS C-8,URBANA,VIAS PUBLICAS,-,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,NO REPORTA,-,PRIMARIA,5001000,,1
14/03/2011,ANTIOQUIA,MEDELLÍN (CT),Lunes,13:00:00,LLANADITAS C-8,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5001000,,1
15/03/2011,ANTIOQUIA,MEDELLÍN (CT),Martes,14:25:00,VDA. EL VERGEL S.A.P.,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5001000,,1
21/03/2011,ANTIOQUIA,MEDELLÍN (CT),Lunes,12:30:00,MANRIQUE CENTRAL No. 2  C-3,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,5001000,,1
22/03/2011,ANTIOQUIA,MEDELLÍN (CT),Martes,9:30:00,VEINTE DE JULIO C-13,URBANA,CASAS DE HABITACION,-,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,5001000,,1
2/4/2011,ANTIOQUIA,MEDELLÍN (CT),Sábado,7:00:00,LOS NARANJOS C-14,URBANA,VIAS PUBLICAS,-,-,-,26,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,5001000,,1
11/4/2011,ANTIOQUIA,MEDELLÍN (CT),Lunes,17:00:00,SAN BENITO C-10,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,,1
