1/1/2010,BOYACÁ,SOCHA,Viernes,0:00,SIMON BOLIVAR,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,15757000,1,,,
1/1/2010,BOYACÁ,SUTATENZA,Viernes,6:00,VDA.SIGUIQUE CENTRO,RURAL,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NO REPORTADO,A PIE,A PIE,23,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,NO REPORTADO,SECUNDARIA,15778000,1,,,
1/1/2010,CALDAS,VILLAMARÍA,Viernes,10:30,VDA CASTILLO,RURAL,FINCAS Y SIMILARES,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,17873000,1,,,
1/1/2010,CAQUETÁ,FLORENCIA (CT),Viernes,11:40,JUAN XXIII,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,5,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,18001000,1,,,
1/1/2010,CAQUETÁ,PUERTO RICO,Viernes,0:00,PERIMETRO URBANO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,13,FEMENINO,UNION LIBRE,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,18592000,1,,,
1/1/2010,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Viernes,4:30,VIA A INSP. CAMPO HERMOSO,RURAL,FINCAS Y SIMILARES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,15,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,NO REPORTADO,PRIMARIA,18753000,1,,,
1/1/2010,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Viernes,21:00,20 DE JULIO,URBANA,CASAS DE HABITACION,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,A PIE,A PIE,23,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,18753000,1,,,
1/1/2010,CASANARE,TAURAMENA,Viernes,0:00,EL VENADO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,85410000,1,,,
1/1/2010,CASANARE,VILLANUEVA,Viernes,8:00,BELLAVISTA,URBANA,VIAS PUBLICAS,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,11,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,85440000,1,,,
1/1/2010,CAUCA,GUAPI,Viernes,8:00,C/MIENTO ALFONSO LOPEZ (BALSITAS),URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,19318000,1,,,
1/1/2010,CHOCÓ,ISTMINA,Viernes,3:20,-,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NO REPORTADO,NO REPORTADO,NO REPORTADO,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,27361000,1,,,
