0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,20
1/1/2019,BOLÍVAR,CARTAGENA (CT),Martes,1:30:00,LA ESPERANZA,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,56,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,13001000,,1
1/1/2019,BOLÍVAR,CARTAGENA (CT),Martes,17:00:00,SAN FRANCISCO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,13001000,,1
1/1/2019,BOLÍVAR,CARTAGENA (CT),Martes,0:45:00,EL POZON,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,13001000,,1
1/1/2019,BOLÍVAR,SANTA ROSA,Martes,20:30:00,SUBESTACION BAYUNCA,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,13683000,,1
1/1/2019,CAQUETÁ,FLORENCIA (CT),Martes,5:30:00,LA FLORESTA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,48,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,18001000,,1
1/1/2019,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Martes,2:30:00,VDA.  EL CRISTAL,RURAL,TIENDA,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,18610000,,1
1/1/2019,CAUCA,PADILLA,Martes,7:45:00,CARLOS LLERAS,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,45,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,19513000,,1
1/1/2019,CAUCA,POPAYÁN (CT),Martes,9:55:00,SOLIDARIDAD,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,76,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,19001000,,1
1/1/2019,CAUCA,POPAYÁN (CT),Martes,4:37:00,VILLA OCCIDENTE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,19001000,,1
1/1/2019,CAUCA,SUÁREZ,Martes,6:55:00,PUEBLO NUEVO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,19780000,,1
1/1/2019,CÓRDOBA,MONTELÍBANO,Martes,6:00:00,SAN JORGE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,23466000,,1
1/1/2019,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,7:30:00,VILLA DEL MAR E-10,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,42,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2019,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,7:05:00,CASA DE TEJA E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,,1
1/1/2019,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,7:40:00,LA INDEPENDENCIA E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,44,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,11001000,,1
1/1/2019,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,3:29:00,CENTRO USME E-5,URBANA,LAVA-AUTOS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,VENEZUELA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,,1
1/1/2019,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,7:07:00,LA HERRADURA E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,,1
1/1/2019,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,8:29:00,EL PINO E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,11001000,,1
